Security Name,Average Price,Total Units,Original Cost,Current Market Value,Profit/Loss,Current Price,Security Symbol
DOMS INDUSTRIES LIMITED,2354.71,48,113220.20,132000.00,18779.80,2750.00,DOMS
MULTI COMMODITY EXCHANGE,4763.00,50,238409.27,264985.01,26575.74,5299.70,MCX
"540205.BO,0P00019CQN,23915",480.78,409,196836.04,211759.75,14923.71,517.75,540205
LT FOODS LIMITED,344.29,407,140278.85,163614.00,23335.15,402.00,LTFOODS
INTERGLOBE AVIATION LTD,4503.07,74,333559.96,366677.41,33117.45,4955.10,INDIGO
ZOMATO LIMITED,256.38,1765.0,452954.14,497376.98,44422.84,281.80,ZOMATO
PRESTIGE ESTATE LTD,1747.38,160,279860.36,292240.00,12379.64,1826.50,PRESTIGE
DIXON TECHNO (INDIA) LTD,12702.11,9,114589.97,115421.40,831.43,12824.60,DIXON
GODREJ PROPERTIES LTD,2929.85,121,354866.25,346525.86,-8340.39,2863.85,GODREJPROP
GARWARE HI-TECH FILMS LTD,3243.58,24,77923.74,76758.00,-1165.74,3198.25,GRWRHITECH
ETHOS LIMITED,3021.55,31,93761.59,101954.35,8192.76,3288.85,ETHOSLTD
VARUN BEVERAGES LIMITED,632.98,232.5,147314.05,152171.25,4857.20,654.50,VBL
NAVKAR CORPORATION LTD.,150.95,344,51978.89,49708.00,-2270.89,144.50,NAVKARCORP
NETWEB TECH INDIA LTD,2488.74,39,97157.99,105777.75,8619.76,2712.25,NETWEB
NUVAMA WEALTH MANAGE LTD,6240.00,39,243603.14,267772.06,24168.92,6865.95,NUVAMA
PB FINTECH LIMITED,1695.36,59,100125.99,105666.05,5540.06,1790.95,POLICYBZR
PG ELECTROPLAST LTD,553.34,190,105240.02,117040.00,11799.98,616.00,PGEL
POLYCAB INDIA LIMITED,6827.50,44,300710.18,300130.60,-579.58,6821.15,POLYCAB
REDTAPE LIMITED,703.45,217,152801.58,157596.25,4794.67,726.25,REDTAPE
SAMVRDHNA MTHRSN INTL LTD,193.67,516,100035.86,97069.92,-2965.94,188.12,MOTHERSON
TIPS INDUSTRIES LIMITED,719.85,239,172216.91,167347.80,-4869.11,700.20,TIPSINDLTD
TRENT LTD,6960.57,51,355343.66,368475.00,13131.34,7225.00,TRENT
UNO MINDA LIMITED,1144.26,85,97359.22,86627.75,-10731.47,1019.15,UNOMINDA
Overall,,,4320147.86,4544695.18,224547.32,,
